idx	weapon	skin	keychain	scope	background

1.png	hunting_rifle  None None      dot       blue      
4609.png	ak47           2    None      dot       purple    
4610.png	revolver       7    leaf      holo      green     
4611.png	revolver       None None      None      green     
4612.png	deagle         2    None      None      purple    
4613.png	spaz           3    None      acog      green     
4614.png	revolver       3    None      acog      blue      
4615.png	spaz           2    dice      holo      green     
4616.png	l96            1    leaf      None      blue      
4617.png	hunting_rifle  1    disco     holo      purple    
4618.png	db             4    None      acog      blue      
4619.png	tar            3    None      dot       green     
4620.png	revolver       3    dice      acog      purple    
4621.png	p90            3    leaf      None      green     
4622.png	db             2    disco     acog      blue      
4623.png	ak47           None None      holo      blue      
4624.png	l96            1    None      None      green     
4625.png	deagle         1    medal     holo      green     
4626.png	deagle         5    None      None      blue      
4627.png	rpg            3    None      acog      purple    
4628.png	db             1    dice      acog      blue      
4629.png	revolver       1    None      holo      blue      
4630.png	spaz           6    disco     None      green     
4631.png	ak47           4    None      None      green     
4632.png	spaz           None None      None      green     
4633.png	mp5            2    None      dot       blue      
4634.png	db             3    leaf      acog      green     
4635.png	p90            5    None      holo      purple    
4636.png	l96            None dice      dot       purple    
4637.png	spaz           6    disco     dot       green     
4638.png	mp5            8    None      dot       blue      
4639.png	hunting_rifle  6    None      None      green     
4640.png	mp5            5    medal     dot       blue      
4641.png	db             5    None      None      purple    
4642.png	deagle         4    pinata    acog      green     
4643.png	mp5            6    None      dot       green     
4644.png	mp5            2    disco     None      blue      
4645.png	deagle         2    None      dot       green     
4646.png	db             3    None      acog      green     
